hinc,unemployed,age,married,migback,health,happiness
1600,0,33,0,0,4,7
6500,0,49,1,0,8,8
1100,0,57,0,0,8,8
2600,0,59,0,0,5,8
1831,0,66,0,0,8,8
5200,0,60,1,0,5,8
5200,0,60,1,0,8,8
1244,0,78,0,0,4,9
1099,0,80,0,0,4,8
2200,0,44,0,0,7,6
NA,0,56,1,0,3,3
2242,0,68,0,0,6,5
4727,0,67,1,0,6,8
4727,0,74,1,0,8,8
3050,0,47,1,0,9,8
2484,0,45,0,0,8,8
3000,0,56,1,0,8,8
2459,0,68,1,0,6,6
2459,0,66,1,0,5,5
2459,0,26,0,0,7,7
950,0,32,0,1,1,5
4000,0,35,1,1,6,6
1211,0,71,0,1,8,10
3500,0,46,0,1,7,8
NA,0,86,0,0,10,10
800,0,82,0,1,5,6
1000,0,82,1,0,6,6
1000,0,81,1,0,8,7
3900,0,51,1,0,5,6
1134,0,59,0,0,7,7
4000,0,59,1,0,8,8
4000,0,53,1,0,7,9
682,0,24,0,0,10,8
4000,0,22,0,0,10,9
2000,0,74,1,0,6,6
1850,0,84,0,0,3,8
4000,0,55,1,0,9,8
5500,0,51,1,0,6,7
3200,0,50,0,1,6,6
2400,0,58,1,0,7,7
2400,0,54,1,0,7,7
5800,0,27,0,0,7,8
2000,0,77,1,0,5,8
14500,0,59,1,0,9,9
720,0,81,0,0,5,10
1511,0,52,0,0,5,5
4300,0,48,1,0,7,8
4000,0,76,1,0,4,7
4000,0,75,1,0,8,7
3600,0,69,1,0,7,8
3600,0,67,1,0,8,8
7500,0,42,1,0,9,9
5000,0,39,0,0,8,8
3000,0,30,1,0,8,8
2000,0,71,0,0,6,6
2800,0,66,1,1,8,8
3000,0,38,1,0,9,8
6000,0,82,0,1,7,6
805,0,57,0,0,4,5
1150,0,78,0,0,2,5
2300,0,46,0,1,4,8
3000,0,68,1,0,4,8
3600,0,83,0,0,4,5
6500,0,52,1,0,4,6
2080,0,73,1,0,6,7
4700,0,53,1,1,3,3
1750,0,76,0,0,3,7
5000,0,66,1,0,8,9
5000,0,64,1,0,8,9
3360,0,37,1,0,8,9
5200,0,33,1,0,9,9
4600,0,71,1,0,8,8
4600,0,68,1,0,6,8
3000,0,75,1,0,6,7
3000,0,71,1,0,6,6
10000,0,67,0,1,8,9
10000,0,68,0,0,4,7
4600,0,54,0,0,9,7
2250,0,25,0,0,5,7
4600,0,62,0,0,7,8
2400,0,80,1,0,4,7
2400,0,79,1,0,10,7
5000,0,47,1,1,7,7
2000,0,76,1,0,7,8
2000,0,67,1,0,7,8
2000,0,35,0,0,10,10
4900,0,71,1,1,8,8
4900,0,69,1,0,6,8
2800,0,33,1,0,NA,9
2400,0,65,1,0,3,5
2400,0,63,1,1,9,9
2400,0,29,0,0,6,8
4200,0,69,1,0,4,5
4200,0,63,1,0,7,7
3300,0,41,1,0,7,8
4200,1,25,0,0,5,5
3000,0,79,1,0,5,5
3000,0,72,1,0,7,7
6000,0,53,1,0,10,9
1600,1,48,0,0,8,7
5600,0,51,1,0,8,8
2200,0,75,1,0,7,2
2200,0,73,1,1,5,8
6700,0,62,1,0,4,7
6700,0,65,1,0,4,6
1100,0,66,0,0,9,8
NA,0,87,0,0,7,7
NA,0,64,1,0,7,8
NA,0,69,1,0,5,7
NA,0,60,1,0,5,7
3300,0,56,1,0,5,7
3300,0,52,1,0,7,8
800,0,25,0,0,9,9
1500,0,23,0,0,8,8
2000,0,92,0,0,8,9
10000,0,58,0,0,5,8
1919,0,79,0,0,8,8
3500,0,53,1,0,7,8
3800,0,53,1,0,3,8
4500,0,57,1,0,8,8
4500,0,59,1,0,7,8
2200,0,57,0,0,7,7
3000,0,31,1,0,8,7
2200,0,23,0,0,8,5
1800,0,56,0,0,6,7
2000,0,52,1,0,5,7
6800,0,54,1,0,9,9
6800,0,54,1,0,7,7
2400,0,39,0,0,5,7
3768,0,66,1,0,6,8
3000,0,55,1,0,8,8
3000,0,60,1,0,5,5
1745,0,72,0,1,8,7
4500,0,62,1,0,8,8
4000,0,62,1,0,8,8
4500,0,63,1,1,7,8
1750,0,84,0,0,3,7
2300,0,74,0,0,7,8
NA,0,62,0,0,4,7
4100,0,70,1,0,5,8
4100,0,59,1,0,7,9
1860,0,79,1,0,7,9
1860,0,84,1,0,8,6
3200,0,61,1,0,3,3
3200,0,24,0,0,7,8
3200,0,65,1,0,0,5
NA,0,21,0,0,7,10
2500,0,71,0,1,7,5
1100,0,71,0,0,5,8
2300,0,47,0,0,7,7
3600,0,32,1,1,9,9
1900,0,56,0,0,8,9
3600,0,54,0,0,4,8
1150,0,76,1,0,6,7
1150,0,74,1,0,9,7
5768,0,49,1,0,10,8
4600,0,29,1,0,7,8
NA,0,69,1,0,9,9
NA,0,67,1,0,9,10
6000,0,41,1,0,8,8
3300,0,54,1,0,6,8
3300,0,53,1,0,5,9
3900,0,77,1,0,8,8
5000,0,75,1,0,0,2
5000,0,71,1,0,7,8
5000,0,32,0,0,9,8
4300,0,56,1,0,6,7
