unemployed,educ,health,age,female,migback
0,9,3,84,1,0
0,14.5,9,55,0,0
0,NA,6,51,0,0
0,13.5,6,50,1,1
0,12,7,58,0,0
0,10.5,7,54,1,0
0,18,7,27,1,0
0,10.5,5,77,0,0
0,18,9,59,0,0
0,10.5,5,81,1,0
0,10.5,5,52,1,0
0,18,7,48,0,0
0,14.5,4,76,0,0
0,11,8,75,1,0
0,11.5,7,69,0,0
0,11.5,8,67,1,0
0,18,9,42,1,0
0,13,8,39,1,0
0,12,8,30,1,0
0,11.5,6,71,0,0
0,10.5,8,66,1,1
0,12,9,38,0,0
0,9,7,82,0,1
0,11.5,4,57,1,0
0,10.5,2,78,1,0
0,11.5,4,46,1,1
0,10.5,4,68,0,0
0,9,4,83,1,0
0,11.5,4,52,1,0
0,10.5,6,73,0,0
0,18,3,53,0,1
0,12,3,76,1,0
0,18,8,66,0,0
0,10,8,64,1,0
0,16,8,37,0,0
0,16,9,33,0,0
0,10.5,8,71,0,0
0,11.5,6,68,1,0
0,10.5,6,75,0,0
0,9,6,71,1,0
0,10.5,8,67,1,1
0,11.5,4,68,0,0
0,10.5,9,54,1,0
0,13,5,25,1,0
0,15,7,62,0,0
0,10.5,4,80,0,0
0,10.5,10,79,1,0
0,11.5,7,47,1,1
0,10.5,7,76,0,0
0,10.5,7,67,1,0
0,10,10,35,0,0
0,18,8,71,0,1
0,18,6,69,1,0
0,NA,NA,33,0,0
0,10.5,3,65,0,0
0,10.5,9,63,1,1
0,12,6,29,0,0
0,10.5,4,69,0,0
0,11,7,63,1,0
0,12,7,41,1,0
1,10,5,25,0,0
0,11.5,5,79,0,0
0,12,7,72,1,0
0,18,10,53,0,0
1,18,8,48,1,0
0,18,8,51,1,0
0,10.5,7,75,0,0
0,11.5,5,73,1,1
0,11,4,62,0,0
0,10.5,4,65,1,0
0,10.5,9,66,0,0
0,9,7,87,1,0
0,10.5,7,64,1,0
0,10.5,5,69,0,0
0,10.5,5,60,1,0
0,10,5,56,0,0
0,12,7,52,1,0
0,14.5,9,25,0,0
0,13,8,23,1,0
0,10.5,8,92,0,0
0,11.5,5,58,0,0
0,11.5,8,79,1,0
0,11.5,7,53,0,0
0,11.5,3,53,1,0
0,10.5,8,57,1,0
0,10.5,7,59,0,0
0,12,7,57,1,0
0,13,8,31,1,0
0,NA,8,23,1,0
0,16,6,56,0,0
0,16,5,52,0,0
0,16,9,54,1,0
0,18,7,54,0,0
0,18,5,39,1,0
0,18,6,66,0,0
0,18,8,55,1,0
0,18,5,60,0,0
0,12,8,72,0,1
0,18,8,62,1,0
0,18,8,62,1,0
0,18,7,63,0,1
0,9,3,84,1,0
0,18,7,74,1,0
0,12,4,62,1,0
0,11.5,5,70,0,0
0,10.5,7,59,1,0
0,10.5,7,79,0,0
0,10.5,8,84,1,0
0,18,3,61,1,0
0,16,7,24,0,0
0,18,0,65,0,0
0,13,7,21,0,0
0,11.5,7,71,1,1
0,NA,5,71,1,0
0,11.5,7,47,1,0
0,18,9,32,1,1
0,10.5,8,56,1,0
0,10.5,4,54,0,0
